1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 777.4761, 764.7625, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 37.8400, 36.8800, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 0.0000, 483, 1325, 142
777.4111, 764.7125, 765.3875, 763.8724, 762.4473, 760.3196, 760.7896, 761.3247, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2514, 1313, 262
777.3660, 764.6950, 765.3950, 763.8948, 762.4622, 760.3946, 760.7346, 761.3422, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2496, 1286, 508
777.1460, 764.7575, 765.7425, 764.1175, 762.7473, 760.6246, 761.0197, 761.6223, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2488, 1274, 636
777.3686, 764.8350, 765.8976, 764.1974, 762.9498, 760.8321, 761.1971, 761.6672, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2480, 1262, 786
777.4310, 764.8074, 765.9576, 764.3549, 762.8948, 760.8047, 761.2347, 761.6447, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2470, 1247, 937
777.4536, 764.7275, 765.8950, 764.3224, 762.7974, 760.7596, 761.1797, 761.7022, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2458, 1229, 1087
777.3711, 764.5999, 765.8701, 764.3174, 762.8348, 760.7422, 761.1672, 761.6347, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2448, 1214, 1238
777.1636, 764.4549, 765.5676, 764.1224, 762.5173, 760.4896, 760.8847, 761.4897, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2438, 1199, 1386
777.1585, 764.5049, 765.7100, 764.0374, 762.6648, 760.6497, 761.0122, 761.5247, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2426, 1181, 1536
776.9485, 764.4399, 765.8076, 764.2549, 762.7248, 760.6446, 761.0472, 761.4647, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2416, 1166, 1687
777.0035, 764.1149, 765.3501, 763.9474, 762.5048, 760.4271, 760.7671, 761.3522, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2394, 1133, 1997
777.2935, 763.9524, 765.1400, 763.7374, 762.1523, 760.1271, 760.4797, 761.0446, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2384, 1118, 2136
776.9485, 763.8574, 765.4126, 763.9699, 762.5123, 760.4096, 760.7521, 761.2847, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 2372, 1100, 2287
776.7410, 763.4998, 764.8025, 763.5499, 762.1223, 760.0696, 760.4096, 760.9572, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 1085, 2438
777.1011, 763.9349, 764.7975, 763.7399, 762.0472, 759.9396, 760.2871, 760.8071, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 1070, 2586
777.1160, 763.8499, 764.5925, 763.7099, 762.0223, 759.8996, 760.2621, 760.8347, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 1043, 2815
776.6584, 763.9174, 765.0025, 764.1924, 762.4648, 760.3096, 760.3721, 760.8821, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 473, 1019, 3036
776.6060, 763.8149, 765.0025, 764.1924, 762.4648, 760.3096, 760.7446, 761.2547, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 451, 986, 3336
776.6060, 763.8149, 764.9475, 763.9724, 762.4648, 760.3096, 760.7446, 761.2547, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 441, 971, 3487
776.2910, 763.2049, 764.1799, 763.5799, 761.9373, 759.8196, 760.7297, 761.1872, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 956, 3637
776.6535, 763.8299, 764.6675, 763.7824, 762.3198, 760.2271, 760.5146, 761.0747, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 941, 3787
776.7510, 764.0549, 765.0649, 764.1524, 762.4922, 760.4070, 760.7197, 761.2422, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 923, 3937
777.2535, 764.2049, 764.7224, 763.8950, 762.3498, 760.1196, 760.3496, 760.9647, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 908, 4087
777.6736, 764.4274, 764.8550, 763.9749, 762.4897, 760.2896, 760.4321, 761.0496, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 875, 4387
777.5286, 764.7000, 764.8825, 763.9048, 762.6123, 760.3896, 760.4846, 760.9822, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 833, 4764
777.8886, 765.2100, 765.3101, 764.4775, 763.0298, 760.7497, 760.8472, 761.2422, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 473, 809, 4988
777.5036, 765.1650, 765.6450, 764.8100, 763.3323, 761.0797, 761.1821, 761.5297, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 463, 794, 5137
777.3185, 765.1326, 765.7925, 764.8050, 763.6174, 761.2972, 761.4172, 761.6872, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 453, 779, 5288
777.4561, 765.1175, 765.5650, 764.7100, 763.4648, 761.1872, 761.2646, 761.5497, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 431, 746, 5587
777.1461, 764.8925, 765.3176, 764.6450, 763.2998, 761.0197, 761.2272, 761.5197, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 415, 722, 5813
776.0109, 764.6974, 765.9501, 765.2075, 763.9324, 761.7197, 761.8423, 762.2248, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 399, 698, 6037
776.1335, 764.8325, 766.1401, 765.5000, 764.2925, 762.1123, 762.0798, 762.4248, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 360, 671, 6262
776.1834, 764.7324, 766.1026, 765.5500, 764.1074, 761.9448, 762.1398, 762.3723, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 335, 656, 6413
776.3509, 764.3774, 765.3801, 765.0000, 763.6774, 761.4448, 761.6572, 761.9422, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 322, 641, 6561
776.2285, 764.5024, 765.1075, 764.5825, 763.3223, 761.1946, 761.3472, 761.6772, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 310, 623, 6710
776.2510, 764.4500, 765.1600, 764.5875, 763.3574, 761.1772, 761.4871, 761.7847, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 300, 608, 6862
776.5285, 764.3350, 764.8775, 764.4100, 763.0148, 760.8771, 761.0696, 761.4322, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 418, 584, 7088
776.5285, 764.3350, 764.9100, 764.4224, 763.0148, 760.8771, 761.0696, 761.4322, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 483, 560, 7313
776.3685, 764.3174, 765.4826, 764.7675, 763.2999, 761.1247, 761.3922, 761.8073, 37.8400, 36.8800, 37.3600, 36.8800, 36.7200, 37.6800, 37.0400, 37.5200, 475, 536, 7538
