1, 2, 3, 4, 5, 6, 7, 8, T1, T2, T3, T4, T5, T6, T7 ,T8, Player Y, Obstacle X, Time stamp 
 772.5781, 765.2150, 763.9124, 762.7923, 0.0000, 0.0000, 0.0000, 0.0000, 37.8400, 36.8800, 37.3600, 36.8800, 0.0000, 0.0000, 0.0000, 0.0000, 483, 1331, 111
772.8657, 765.2400, 763.8525, 762.8123, 761.4222, 760.0396, 761.0172, 759.6520, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 2001, 1319, 245
772.9456, 765.3000, 763.8425, 762.8623, 761.3821, 760.0046, 760.9172, 759.6121, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1989, 1301, 396
773.0657, 765.3651, 763.8449, 762.7623, 761.3723, 759.9721, 760.8547, 759.5420, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1979, 1286, 547
773.1307, 765.4150, 763.8174, 762.7148, 761.3672, 759.8796, 760.7946, 759.5345, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1969, 1271, 698
773.2107, 765.7226, 763.8099, 762.6948, 761.3847, 759.8745, 760.8046, 759.5146, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1957, 1253, 850
772.9031, 765.6800, 763.7149, 762.4998, 761.3447, 760.0270, 760.8672, 759.5195, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1947, 1238, 999
772.9031, 765.6800, 763.7549, 762.6523, 761.3447, 760.0270, 760.8672, 759.5195, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 1935, 1220, 1151
770.2280, 762.7048, 762.7424, 762.1998, 760.8497, 759.4221, 760.2046, 759.0671, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 483, 1205, 1298
769.4304, 762.3223, 764.3224, 763.8299, 762.1997, 760.5546, 761.3721, 760.2896, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 473, 1190, 1448
768.7303, 762.3148, 764.9424, 764.8125, 762.8174, 760.9697, 761.6822, 760.4821, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 449, 1172, 1598
768.0878, 763.0549, 766.6301, 766.3801, 764.1675, 762.1573, 762.7998, 761.4998, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 419, 1157, 1749
767.0852, 762.5373, 767.2026, 766.8176, 764.8699, 762.8773, 763.4448, 762.0898, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 363, 1139, 1900
767.5078, 762.4172, 766.3426, 766.2076, 764.3099, 762.3323, 762.8648, 761.5997, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 321, 1124, 2049
768.5078, 762.6323, 765.2700, 764.9675, 763.3999, 761.6272, 762.6723, 761.4472, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 289, 1109, 2200
768.4402, 761.5772, 763.8724, 763.6849, 762.1599, 760.5571, 761.1572, 760.0571, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 265, 1091, 2347
769.0703, 762.1998, 763.5049, 763.0998, 761.7647, 760.2871, 760.7847, 759.6870, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 255, 1076, 2497
768.4277, 761.9847, 763.7399, 763.0449, 761.8622, 760.4621, 761.0797, 759.9196, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 243, 1058, 2650
768.2178, 761.5047, 763.2498, 762.8073, 761.4847, 759.9646, 760.5646, 759.4421, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 233, 1043, 2798
767.4152, 761.7272, 763.8425, 763.3249, 761.8272, 760.2396, 760.8021, 759.7820, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 217, 1019, 3023
768.7503, 762.1072, 763.0273, 762.6873, 761.2497, 759.7321, 760.2871, 759.2320, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 207, 1004, 3173
769.4028, 762.7198, 763.2099, 762.6973, 761.4398, 760.0721, 760.6071, 759.4120, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 195, 986, 3324
770.8830, 763.8274, 763.8323, 763.2424, 761.9097, 760.4346, 760.9971, 759.8420, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 185, 971, 3473
771.1530, 764.1749, 763.9099, 763.3099, 761.9072, 760.4521, 761.0097, 759.8570, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 175, 956, 3623
772.1981, 764.9550, 764.3000, 763.6774, 762.3049, 760.7922, 761.3547, 760.2521, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 155, 938, 3773
772.4280, 765.2925, 764.2399, 763.6249, 762.2098, 760.6472, 761.2247, 760.1246, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 911, 4014
772.8682, 765.2900, 764.3374, 763.4998, 762.2873, 760.8796, 761.4446, 760.1946, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 899, 4148
773.1057, 765.3400, 763.8174, 763.5298, 762.0998, 760.4721, 761.1697, 759.9570, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 881, 4298
773.0507, 765.2000, 763.6299, 763.4924, 762.0247, 760.4096, 761.1022, 759.8870, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 866, 4447
772.9282, 765.4375, 763.4798, 763.2949, 761.9673, 760.5222, 761.3098, 759.8945, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 851, 4598
772.7781, 765.4100, 763.4599, 763.3198, 762.0298, 760.5696, 761.3847, 759.9846, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 833, 4750
773.0157, 765.3450, 763.2324, 763.3874, 762.0047, 760.3870, 761.2397, 759.8271, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 809, 4973
772.9357, 765.2150, 763.1298, 763.4799, 762.0373, 760.4571, 761.2822, 759.8646, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 143, 794, 5123
772.9532, 765.5051, 762.9773, 763.3099, 762.0197, 760.5696, 761.2697, 759.8396, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 188, 776, 5274
772.9632, 765.2975, 762.8323, 763.2474, 761.9973, 760.4946, 761.4197, 759.8271, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 263, 761, 5424
772.8857, 765.2000, 762.8623, 763.3699, 762.0573, 760.4495, 761.4548, 759.9096, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 353, 743, 5573
772.6057, 765.0550, 762.8923, 763.4524, 762.1372, 760.5196, 761.4997, 759.9495, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 428, 728, 5724
772.4782, 765.0800, 763.0173, 763.5649, 762.2272, 760.6221, 761.6022, 760.0046, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 471, 713, 5873
772.3631, 765.1750, 763.1198, 763.4274, 762.3498, 760.8647, 761.8947, 760.1696, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 459, 695, 6024
772.2307, 765.0925, 763.2549, 763.5925, 762.4873, 760.8647, 761.9373, 760.2021, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 449, 680, 6174
771.9355, 764.8725, 763.2573, 763.6824, 762.5123, 760.8372, 761.9147, 760.2546, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 437, 662, 6324
771.7331, 764.8176, 763.3349, 763.7524, 762.5547, 760.8896, 761.9647, 760.3571, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 427, 647, 6475
771.4731, 764.7625, 763.3924, 763.7173, 762.5947, 760.9597, 762.0198, 760.3596, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 417, 632, 6623
771.4881, 764.8074, 763.3623, 763.5574, 762.5648, 761.0622, 762.0623, 760.3721, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 405, 614, 6775
771.5605, 764.5200, 763.3223, 763.5849, 762.5673, 760.9097, 761.9722, 760.2922, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 395, 599, 6924
771.4831, 764.3649, 763.2598, 763.5724, 762.4423, 760.8421, 761.8522, 760.2297, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 383, 581, 7073
771.4831, 764.3649, 763.2224, 763.5198, 762.4223, 760.8347, 761.8522, 760.2297, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 373, 566, 7225
771.2830, 764.3374, 763.2823, 763.4998, 762.3672, 760.7521, 761.7122, 760.1196, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 357, 542, 7448
771.2131, 764.1099, 763.1973, 763.2899, 762.2973, 760.8071, 761.8498, 760.1472, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 347, 527, 7597
771.2331, 763.9775, 763.1799, 763.3574, 762.1923, 760.6921, 761.6147, 760.0346, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 335, 509, 7748
771.1956, 763.9675, 763.2524, 763.3699, 762.2148, 760.6271, 761.5397, 760.0021, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 325, 494, 7897
771.0555, 763.9399, 763.2824, 763.3623, 762.1647, 760.6447, 761.4971, 759.9821, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 309, 470, 8122
770.7029, 764.1099, 763.3649, 763.3874, 762.1797, 760.5971, 761.4647, 759.9546, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 293, 446, 8347
770.7005, 764.1225, 763.3423, 763.1748, 762.1647, 760.7847, 761.6722, 760.0646, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 275, 419, 8573
770.3430, 764.2674, 763.4173, 763.2874, 762.1172, 760.6146, 761.4597, 759.9720, 37.8400, 36.8800, 37.3600, 36.8800, 36.5600, 37.6800, 37.0400, 37.3600, 265, 404, 8723
